date,ticker,action,quantity,price,link_to_memo,notes
2025-09-16,CRWD,watch,0,0,memos/CRWD_2025-09-16.md,Set up memo; no position yet
2025-09-16,HD,watch,0,0,,Planning memo; researching Pro vs DIY trends
